,scan,macAddress,signalStrength,signalToNoiseRatio,location
0,1,84:d4:7e:ef:4f:00,-78.0,0.0,ENC 101
1,1,84:d4:7e:ef:4f:01,-77.0,0.0,ENC 101
2,1,84:d4:7e:ef:63:a2,-88.0,0.0,ENC 101
3,1,84:d4:7e:e6:71:e0,-79.0,0.0,ENC 101
4,1,84:d4:7e:e6:71:e1,-79.0,0.0,ENC 101
5,1,84:d4:7e:e6:71:e2,-79.0,0.0,ENC 101
6,1,84:d4:7e:e6:24:c2,-84.0,0.0,ENC 101
7,1,84:d4:7e:ef:4f:02,-77.0,0.0,ENC 101
8,1,28:24:ff:94:aa:fd,-76.0,0.0,ENC 101
9,1,84:d4:7e:e6:78:20,-85.0,0.0,ENC 101
10,1,84:d4:7e:e6:78:21,-83.0,0.0,ENC 101
11,1,84:d4:7e:e6:78:22,-83.0,0.0,ENC 101
12,1,e4:c3:2a:85:e7:5b,-81.0,0.0,ENC 101
13,1,84:d4:7e:ef:60:c0,-87.0,0.0,ENC 101
14,1,84:d4:7e:f3:29:e2,-85.0,0.0,ENC 101
15,1,84:d4:7e:f2:f1:c1,-88.0,0.0,ENC 101
0,2,84:d4:7e:ef:3f:c1,-87.0,0.0,ENC 101
1,2,28:24:ff:94:aa:fd,-77.0,0.0,ENC 101
2,2,04:bd:88:26:1d:21,-80.0,0.0,ENC 101
3,2,04:bd:88:26:1d:22,-79.0,0.0,ENC 101
4,2,84:d4:7e:e6:83:e2,-82.0,0.0,ENC 101
5,2,84:d4:7e:e6:71:e0,-80.0,0.0,ENC 101
6,2,84:d4:7e:e6:71:e1,-79.0,0.0,ENC 101
7,2,84:d4:7e:e6:71:e2,-80.0,0.0,ENC 101
8,2,84:d4:7e:ef:4f:00,-78.0,0.0,ENC 101
9,2,84:d4:7e:ef:4f:01,-78.0,0.0,ENC 101
10,2,84:d4:7e:ef:4f:02,-77.0,0.0,ENC 101
11,2,84:d4:7e:e6:73:e0,-80.0,0.0,ENC 101
12,2,84:d4:7e:e6:73:e1,-78.0,0.0,ENC 101
13,2,84:d4:7e:e6:f0:a0,-82.0,0.0,ENC 101
14,2,84:d4:7e:e6:f0:a1,-81.0,0.0,ENC 101
15,2,84:d4:7e:ef:40:e1,-85.0,0.0,ENC 101
16,2,84:d4:7e:e6:f0:a2,-79.0,0.0,ENC 101
17,2,e4:c3:2a:85:e7:5b,-79.0,0.0,ENC 101
18,2,ea:c3:2a:85:e7:5b,-79.0,0.0,ENC 101
19,2,84:d4:7e:e6:f2:20,-87.0,0.0,ENC 101
20,2,84:d4:7e:e6:f2:21,-87.0,0.0,ENC 101
21,2,84:d4:7e:e6:f2:22,-86.0,0.0,ENC 101
22,2,84:d4:7e:f2:f1:c0,-86.0,0.0,ENC 101
0,3,28:24:ff:94:aa:fd,-75.0,0.0,ENC 101
1,3,84:d4:7e:f2:fc:62,-82.0,0.0,ENC 101
2,3,84:d4:7e:e6:77:42,-83.0,0.0,ENC 101
3,3,84:d4:7e:ef:4f:00,-80.0,0.0,ENC 101
4,3,84:d4:7e:ef:3f:c1,-81.0,0.0,ENC 101
5,3,84:d4:7e:f2:fc:60,-84.0,0.0,ENC 101
6,3,04:bd:88:26:1d:22,-80.0,0.0,ENC 101
7,3,84:d4:7e:e6:f0:a0,-80.0,0.0,ENC 101
8,3,84:d4:7e:e6:f0:a1,-79.0,0.0,ENC 101
9,3,84:d4:7e:e6:f0:a2,-79.0,0.0,ENC 101
10,3,84:d4:7e:e6:78:20,-83.0,0.0,ENC 101
11,3,84:d4:7e:e6:78:21,-83.0,0.0,ENC 101
12,3,84:d4:7e:e6:78:22,-82.0,0.0,ENC 101
13,3,84:d4:7e:ef:40:e1,-82.0,0.0,ENC 101
14,3,84:d4:7e:e6:72:60,-87.0,0.0,ENC 101
15,3,ea:c3:2a:85:e7:5b,-77.0,0.0,ENC 101
16,3,e4:c3:2a:85:e7:5b,-77.0,0.0,ENC 101
17,3,84:d4:7e:ef:35:40,-88.0,0.0,ENC 101
0,4,84:d4:7e:ef:4f:02,-87.0,0.0,ENC 101
1,4,0a:3a:8d:ce:86:68,-81.0,0.0,ENC 101
2,4,84:d4:7e:ef:3f:c0,-81.0,0.0,ENC 101
3,4,84:d4:7e:ef:3f:c2,-81.0,0.0,ENC 101
4,4,84:d4:7e:e6:71:e0,-79.0,0.0,ENC 101
5,4,84:d4:7e:ef:3f:c1,-79.0,0.0,ENC 101
6,4,04:bd:88:26:1d:22,-82.0,0.0,ENC 101
7,4,84:d4:7e:e6:71:e2,-79.0,0.0,ENC 101
8,4,84:d4:7e:e6:78:20,-81.0,0.0,ENC 101
9,4,84:d4:7e:e6:78:21,-81.0,0.0,ENC 101
10,4,84:d4:7e:e6:78:22,-81.0,0.0,ENC 101
11,4,84:d4:7e:e6:f0:a0,-83.0,0.0,ENC 101
12,4,84:d4:7e:e6:f0:a1,-82.0,0.0,ENC 101
13,4,ea:c3:2a:85:e7:5b,-80.0,0.0,ENC 101
14,4,e4:c3:2a:85:e7:5b,-80.0,0.0,ENC 101
15,4,84:d4:7e:ef:35:42,-80.0,0.0,ENC 101
16,4,84:d4:7e:e6:f2:20,-82.0,0.0,ENC 101
17,4,84:d4:7e:e6:f2:21,-81.0,0.0,ENC 101
0,5,84:d4:7e:ef:3f:c1,-76.0,0.0,ENC 101
1,5,84:d4:7e:ef:3f:c2,-73.0,0.0,ENC 101
2,5,28:24:ff:94:aa:fd,-72.0,0.0,ENC 101
3,5,84:d4:7e:f2:fc:61,-79.0,0.0,ENC 101
